state,ach_mean,ach_median,ach_iqr,ach_std,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_slope_per_min,resid_std,resid_mad
WAKE,0.6825721,0.7551044,2.652429,2.161533,0.4416796,0.5563543,2.340663,1.693674,-0.000507092,1.484005,0.7880244
NREM,-1.219058,-1.405966,2.137465,1.492853,-1.206884,-1.305775,1.271526,0.9286482,-0.001686791,1.225847,0.7578818
REM,-2.940324,-2.734255,3.145784,2.146487,-2.771341,-2.576814,2.609557,1.774807,-0.001850206,1.04479,0.6255507
