t_s,type
2910.5847737883,mean
3372.61356454773,mean
4915.39650969207,mean
8614.67425970651,mean
9524.67436950651,mean
9757.55654084887,mean
11192.6966081461,mean
12673.7446425251,mean
16095.2152940957,mean
17249.1076230178,mean
22521.4459495711,mean
22723.952185521,mean
