state,ach_mean,ach_median,ach_iqr,ach_std,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_slope_per_min,resid_std,resid_mad
WAKE,1.424627,1.371555,3.824151,2.53681,1.251197,1.308957,3.347328,2.129617,0.006998086,1.380453,0.7769065
NREM,0.1063775,0.2911129,2.651258,1.936937,0.0250344,0.3699149,2.516213,1.613792,0.005687435,1.129877,0.6500976
REM,-3.055961,-2.778278,4.507126,3.00166,-2.493918,-2.2941,4.483583,2.708204,-0.0003049042,1.270723,0.7119716
