t_s,type
212.729851745403,mean
771.588080568238,mean
5622.79207954416,mean
8014.82326370353,mean
10980.5565803889,mean
11883.6754103265,mean
12621.250307575,mean
16428.7607594248,mean
17565.351584693,mean
18037.0141672597,mean
21190.3115121938,mean
27271.0036145799,mean
