t_s,z_peak,prominence_z,width_s,resid_peak_df
1.27795197444096,8.954969,13.96958,8.70623,15.32359
102.137853957243,4.366101,1.535558,1.711128,7.533875
107.151357856973,4.872596,7.579071,13.44222,8.393663
119.439357611213,4.325817,4.183866,6.159324,7.465492
167.804924643902,2.56639,2.60277,11.58786,4.478821
192.184316156314,5.113389,8.27509,20.70475,8.802416
195.526652089467,4.263231,1.126302,1.867524,7.359251
255.492090890158,3.290059,5.055828,18.97022,5.707267
265.617402687652,2.825356,1.586124,4.228656,4.918424
302.088185958236,3.138124,4.911911,8.724216,5.449354
737.968113240638,2.556021,4.529428,10.79323,4.461221
1100.7098659858,2.596035,5.092255,18.14928,4.529144
1227.03050345939,2.814398,5.180249,9.905375,4.899821
1438.18749123625,2.920862,4.546312,10.56998,5.080547
1477.41078645178,3.128884,5.784052,10.80442,5.433668
1848.90159502197,2.854964,5.325477,12.47174,4.968682
1928.42952943141,2.940218,4.585017,14.23814,5.113405
1932.65660134687,2.713583,1.082176,2.122176,4.728685
2004.6151279077,2.99843,5.574768,11.15174,5.21222
2059.27215081456,2.649395,4.34137,9.803904,4.619724
2247.22939505541,3.997644,6.863674,22.99699,6.90841
2456.02708687946,2.80317,4.353389,6.615552,4.880762
2557.8700288426,2.833048,5.106478,6.099264,4.931481
2732.45792935084,2.596052,4.458976,8.536511,4.529173
2762.63725674725,2.50148,3.474386,3.6096,4.368635
2774.82695250346,2.819584,5.181318,6.61632,4.908625
2932.11334935773,2.975608,4.854138,5.444544,5.17348
2964.94688470106,2.664418,4.345564,5.639232,4.645226
3003.38374793232,3.017773,1.444042,2.927616,5.245055
3009.18368381633,3.031552,5.465558,18.98726,5.268446
3035.62745928745,3.014281,4.708577,5.5968,5.239127
3508.1747778365,2.879399,5.176089,11.66246,5.010161
3541.49983317,2.753886,3.9061,7.609728,4.797101
3558.40812083184,2.775284,4.366435,9.507456,4.833424
3598.02463203951,2.87708,4.591781,17.92627,5.006226
3660.54597478908,2.681116,4.092597,5.106816,4.673573
3708.91154182177,3.033088,4.882588,13.3801,5.271053
3733.48754133025,2.78831,4.34753,9.022079,4.855536
3786.27678827446,3.890579,5.678509,9.68256,6.726665
3805.05285189894,3.405887,3.908499,3.544704,5.903889
3841.13041917739,3.036759,4.628109,9.050112,5.277285
3872.68600254628,3.191384,4.900935,11.0519,5.539763
3932.94635334107,3.847749,1.528317,2.713344,6.653961
3940.22084919558,3.972878,6.713534,21.34618,6.86637
3954.67153690657,2.551128,2.180355,3.914112,4.452914
4135.55089328898,3.390779,5.252481,9.493248,5.878242
4443.93053512139,2.697155,4.834639,10.61069,4.700798
4593.64752412705,3.07204,5.334543,15.1369,5.337175
5070.32361059353,2.920184,4.594357,14.86042,5.079396
5160.46837679063,2.570668,3.774339,9.539328,4.486084
5245.40303109194,3.295442,5.611756,11.9689,5.716405
5337.51387724972,2.636257,4.195868,11.02387,4.597423
5372.01858055963,3.097269,5.119373,8.277888,5.380002
5421.76040356479,2.66866,4.252857,20.10624,4.652428
5634.58855930823,2.8917,3.259482,4.480896,5.031043
5645.10708709786,3.427815,5.750666,7.854336,5.941112
5682.26599835468,2.94435,4.543027,10.41408,5.120418
5745.96698908066,2.651937,4.24018,11.2919,4.624039
6008.83187982336,2.569713,4.342035,7.046784,4.484462
6123.15942953681,2.567543,3.68815,5.90592,4.480779
6143.1151411377,2.653412,4.323606,8.340864,4.626544
6176.24358847513,2.539691,3.915248,8.153856,4.4335
6235.02937929941,3.256916,5.331618,11.74771,5.651006
6239.94457920111,2.779042,1.504832,3.619968,4.839804
6247.80889904382,2.813768,2.453836,3.292416,4.898751
6266.8798746624,2.776386,4.136465,6.68352,4.835296
6304.92352190153,3.358193,5.535422,9.59424,5.822927
6328.81139342377,2.909453,4.321432,7.850112,5.061179
6435.07801529844,2.977813,4.884109,15.35885,5.177221
6533.38201333236,3.055109,5.247603,14.86771,5.308434
6743.94917712102,3.131802,5.178741,14.88998,5.438622
7021.06814757864,2.754032,4.652363,7.729152,4.797348
7044.36619511268,2.601525,4.031606,8.952576,4.538464
7144.63627310727,3.021913,4.6982,5.348352,5.252083
7172.84952054301,2.917158,4.416293,12.23808,5.074259
7218.95409562092,3.532054,5.343141,13.09133,6.118061
7251.09950297801,2.820387,4.254519,5.288448,4.909988
7305.36330989273,3.666728,6.442872,13.40774,6.346673
7328.07153343857,3.058302,3.309345,4.479744,5.313854
7561.05200877896,3.352206,5.164459,9.50784,5.812763
7576.87895246242,2.784024,2.517582,10.51776,4.848261
7663.77968672441,3.273681,5.177215,18.1417,5.679465
7672.62704654746,2.594488,1.327495,5.455872,4.526519
