f_Hz,Pxx
0.009934108,964.9518
0.01986822,181.8888
0.02980232,38.57626
0.03973643,28.48562
0.04967054,21.01238
0.05960464,15.57525
0.06953876,11.79248
0.07947286,9.191888
0.08940697,7.591051
0.09934108,6.167809
