state,ach_mean,ach_median,ach_iqr,ach_std,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_slope_per_min,resid_std,resid_mad
WAKE,-2.228405,-2.496306,5.885375,4.105907,-2.392579,-2.422496,5.343143,3.692991,-0.01374694,1.654142,1.008004
NREM,-1.396115,-1.37112,6.359493,4.426914,-1.48812,-1.717912,5.598794,4.015666,-0.01038375,1.711093,1.040548
REM,-1.192802,0.06169417,5.87861,4.543327,-1.247986,0.5830319,5.224696,3.96774,-0.01686481,1.860324,1.210592
