label,event_time_s,state_at_event,peak_val,t_peak_s,auc_0to300s
ambtemp_end,22000,WAKE,-4.20104026794434,148,-2360.21378970146
ambtemp_start,11000,NREM,4.43795871734619,103,154.031971131451
