f_Hz,Pxx
0.009934108,172.5525
0.01986822,44.67051
0.02980232,13.6631
0.03973643,8.943584
0.04967054,6.488681
0.05960464,4.868089
0.06953876,3.740762
0.07947286,3.005938
0.08940697,2.503479
0.09934108,2.027061
