state,ach_mean,ach_median,ach_iqr,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_n
WAKE,1.771118,1.648622,2.398138,122472,1.330226,1.345206,2.227347,122472
NREM,-0.1473722,-0.3206562,1.39412,161186,-0.1425826,-0.2473512,1.082605,161186
REM,-1.750968,-1.936167,2.288803,31604,-1.504753,-1.704742,1.744709,31604
