t_s,type
856.522734869545,mean
6669.4347466113,mean
7768.9649646207,mean
10438.99985522,mean
10688.102186238,mean
14650.9329549813,mean
17304.3544699129,mean
17851.3179149736,mean
18946.0312370794,mean
21317.9101016418,mean
23946.4607050708,mean
24380.7677683846,mean
