hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,8,28,5,800,2081,578
1,3600,14,33,6,877,2146,441
2,7200,2,9,0,3016,544,0
3,10800,8,28,5,969,1891,564
4,14400,1,14,1,2239,1175,104
5,18000,7,31,5,972,1923,530
6,21600,9,36,6,739,2067,600
7,25200,7,17,3,1705,1491,301
8,28800,8,19,3,951,1356,312
