hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,10,33,8,24,988,2013,508,91
1,3600,2,32,3,30,2275,1129,138,58
2,7200,2,23,1,20,2717,802,36,45
3,10800,3,54,6,51,239,2642,555,164
4,14400,3,40,5,37,923,2150,423,104
5,18000,7,14,3,7,2237,1116,214,33
6,21600,2,5,1,4,1387,297,33,14
