hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,1,4,0,3348,248,0
1,3600,10,43,3,1544,1804,120
2,7200,4,23,3,1966,1294,214
3,10800,8,61,4,918,2053,422
4,14400,5,53,4,659,2207,537
5,18000,5,25,2,1737,1325,390
6,21600,6,47,8,287,2263,813
7,25200,2,27,2,2136,1143,199
8,28800,6,34,6,1112,1658,666
9,32400,4,17,4,394,1035,192
