hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,3,3,0,3098,502,0
1,3600,13,13,5,716,2376,497
2,7200,8,13,5,843,2432,291
3,10800,8,13,7,456,2425,653
4,14400,5,5,0,1771,1816,0
5,18000,2,5,3,1457,1803,313
6,21600,8,9,0,2251,1348,0
7,25200,7,6,4,993,2153,453
8,28800,4,5,3,1719,1747,134
9,32400,3,2,1,1096,370,214
