hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,8,23,6,15,1244,1853,396,107
1,3600,6,31,3,25,1165,1972,283,180
2,7200,6,27,4,22,1156,2011,261,172
3,10800,7,22,2,15,1819,1501,195,85
4,14400,8,34,7,25,1034,1898,525,143
5,18000,8,31,2,23,1670,1715,96,119
6,21600,6,44,7,38,1040,1789,563,208
7,25200,7,34,5,29,968,2048,404,180
8,28800,5,17,3,12,670,1059,384,80
