hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,4,25,3,21,2017,1055,406,122
1,3600,5,28,4,22,1774,1231,492,103
2,7200,10,51,4,41,1679,1528,227,166
3,10800,9,63,9,55,498,1994,800,308
4,14400,6,83,5,77,859,2051,381,309
5,18000,6,21,4,16,2441,816,281,62
6,21600,6,51,3,44,1234,1692,456,218
7,25200,14,53,6,40,1247,1711,460,182
8,28800,6,20,3,13,982,946,173,92
