hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,2,2,1,0,2836,652,112,0
1,3600,5,8,4,4,597,2586,392,25
2,7200,2,16,4,13,538,2466,517,79
3,10800,1,9,2,8,900,2381,266,53
4,14400,2,12,4,9,519,2547,472,62
5,18000,2,7,4,7,1008,1979,557,56
6,21600,4,9,2,5,1771,1563,226,40
7,25200,2,8,2,5,1468,1821,273,38
8,28800,4,5,2,2,1028,1282,372,8
