hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,4,28,4,25,1632,1635,234,99
1,3600,5,38,3,32,1290,1903,235,172
2,7200,7,34,5,28,817,2246,420,117
3,10800,4,15,2,10,2272,980,295,53
4,14400,6,28,4,23,1398,1769,325,108
5,18000,3,29,4,25,1625,1662,178,135
6,21600,4,29,6,25,935,2005,530,130
7,25200,4,25,3,21,1135,1848,476,141
8,28800,4,13,1,10,338,1043,86,73
