hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,3,2,0,0,3098,502,0,0
1,3600,6,14,1,8,1817,1703,34,46
2,7200,5,24,6,17,370,2582,564,84
3,10800,2,2,1,0,3139,406,55,0
4,14400,1,13,4,11,1638,1564,329,69
5,18000,5,34,6,29,710,2374,345,171
6,21600,6,50,5,44,380,2421,597,202
7,25200,7,40,6,33,853,2038,578,131
8,28800,2,10,2,9,495,740,255,50
