hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,10,53,3,43,1524,1796,138,142
1,3600,8,55,2,47,1519,1791,181,109
2,7200,5,32,2,26,1572,1710,209,109
3,10800,8,42,6,35,823,1964,710,103
4,14400,8,35,5,26,730,2285,460,125
5,18000,5,9,0,4,2481,1094,0,25
6,21600,8,46,5,38,1038,2002,390,170
7,25200,4,20,2,17,2696,763,86,55
8,28800,0,0,0,0,17,0,0,0
