hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,7,84,1,1740,1657,9
1,3600,12,58,3,1289,1881,272
2,7200,4,10,2,2856,578,136
3,10800,7,16,0,1939,1583,0
4,14400,6,22,3,1487,1820,158
5,18000,10,16,4,1486,1595,446
6,21600,13,26,6,996,2159,317
7,25200,5,9,1,218,771,43
