hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,1,4,0,3,3320,252,0,28
1,3600,8,29,5,21,884,2014,533,169
2,7200,10,30,5,20,361,2504,542,193
3,10800,6,11,1,5,2310,1117,121,52
4,14400,5,19,3,14,931,2127,406,136
5,18000,9,26,5,17,313,2574,547,166
6,21600,5,20,5,14,1435,1677,396,92
7,25200,6,17,4,12,1273,1906,314,107
8,28800,2,7,2,5,1536,981,271,53
