hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,4,3,0,0,2765,835,0,0
1,3600,6,15,1,8,2109,1406,34,51
2,7200,11,35,5,25,955,2144,323,178
3,10800,6,10,1,3,2225,1273,72,30
4,14400,8,19,5,12,741,2267,489,103
5,18000,9,27,5,18,798,2292,366,144
6,21600,11,26,4,15,1061,2023,386,130
7,25200,11,26,6,15,916,2024,515,145
8,28800,0,0,0,0,2042,0,0,0
