hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,7,17,0,10,2346,1176,0,78
1,3600,9,34,4,25,546,2678,160,216
2,7200,6,22,4,17,1484,1562,398,156
3,10800,9,37,3,27,858,2229,336,177
4,14400,10,56,4,47,642,2319,372,267
5,18000,7,41,5,33,1317,1598,497,188
6,21600,6,44,6,39,319,2241,793,247
7,25200,8,33,5,25,1305,1674,478,143
8,28800,2,6,1,4,739,437,85,34
