state,ach_mean,ach_median,ach_iqr,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_n
WAKE,0.4048372,0.290121,2.947499,135670,0.2144648,0.17192,2.850599,135670
NREM,-0.982105,-1.283787,2.442747,154135,-0.9542769,-1.314883,2.532335,154135
REM,-2.350559,-2.517861,3.00277,31839,-2.231754,-2.586696,2.9717,31839
