state,ach_mean,ach_median,ach_iqr,ach_std,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_slope_per_min,resid_std,resid_mad
WAKE,0.4048372,0.290121,2.947499,2.196211,0.2144648,0.17192,2.850599,1.975415,-0.007286298,0.8910637,0.4697299
NREM,-0.982105,-1.283787,2.442747,1.534424,-0.9542769,-1.314883,2.532335,1.460054,-0.008925273,0.5236834,0.3279688
REM,-2.350559,-2.517861,3.00277,1.937776,-2.231754,-2.586696,2.9717,1.779778,-0.009500719,0.6038178,0.3881304
