t_s,type
1762.39407675212,mean
2282.02901035942,mean
6318.29286563414,mean
7152.79550494409,mean
11483.4798343304,mean
12096.3069580739,mean
16892.2641101547,mean
17125.8344094833,mean
21507.5385138492,mean
22567.550524649,mean
27423.7680275246,mean
28445.7363910853,mean
