state,ach_mean,ach_median,ach_iqr,ach_std,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_slope_per_min,resid_std,resid_mad
WAKE,1.771118,1.648622,2.398138,1.902348,1.330226,1.345206,2.227347,1.513003,-0.0005838781,1.345052,0.7370778
NREM,-0.1473722,-0.3206562,1.39412,1.270923,-0.1425826,-0.2473512,1.082605,0.9864166,-0.0007414877,0.7332605,0.3898249
REM,-1.750968,-1.936167,2.288803,1.929707,-1.504753,-1.704742,1.744709,1.531498,-0.004481996,0.8922229,0.4301966
