bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
48,0,WAKE,3441,49,3440,49,-3391,-1.252161,-1.252161,0,0,1,-0.6963257,-0.6963257,0,0,1,NaN,,0
49,1,NREM,3451,50,3450,50,-3400,-0.06743319,-0.06743319,0,0,1,-0.8153891,-0.8153891,0,0,1,NaN,,0
50,0,WAKE,3486,51,3485,51,-3434,0.1962055,0.1962055,0,0,1,-0.3831351,-0.3831351,0,0,1,NaN,,0
51,1,NREM,3499,52,3498,52,-3446,-0.614951,-0.614951,0,0,1,-0.2286399,-0.2286399,0,0,1,NaN,,0
52,0,WAKE,3549,53,3548,53,-3495,-1.014236,-1.014236,0,0,1,-0.7788606,-0.7788606,0,0,1,NaN,,0
53,1,NREM,3555,54,3554,54,-3500,0.3070494,0.3070494,0,0,1,-0.9337631,-0.9337631,0,0,1,NaN,,0
54,0,WAKE,3755,55,3754,55,-3699,0.6704654,0.6704654,0,0,1,-0.371917,-0.371917,0,0,1,NaN,,0
55,1,NREM,3773,56,3772,56,-3716,0.2939221,0.2939221,0,0,1,-0.4068767,-0.4068767,0,0,1,NaN,,0
56,0,WAKE,3890,57,3889,57,-3832,0.8564575,0.8564575,0,0,1,-0.9785597,-0.9785597,0,0,1,NaN,,0
57,1,NREM,3899,58,3898,58,-3840,1.636388,1.636388,0,0,1,-1.029955,-1.029955,0,0,1,NaN,,0
58,0,WAKE,3946,59,3945,59,-3886,-1.895761,-1.895761,0,0,1,-1.463982,-1.463982,0,0,1,NaN,,0
59,1,NREM,3953,60,3952,60,-3892,-0.8930042,-0.8930042,0,0,1,-1.508462,-1.508462,0,0,1,NaN,,0
60,0,WAKE,4067,61,4066,61,-4005,-0.6321322,-0.6321322,0,0,1,-0.3500784,-0.3500784,0,0,1,NaN,,0
61,1,NREM,4841,62,4840,62,-4778,2.853854,2.853854,0,0,1,1.761253,1.761253,0,0,1,NaN,,0
62,0,WAKE,4957,63,4956,63,-4893,-2.177701,-2.177701,0,0,1,-1.289582,-1.289582,0,0,1,NaN,,0
63,1,NREM,4969,64,4968,64,-4904,-1.185304,-1.185304,0,0,1,-1.336796,-1.336796,0,0,1,NaN,,0
64,0,WAKE,5032,65,5031,65,-4966,-1.063709,-1.063709,0,0,1,-1.382161,-1.382161,0,0,1,NaN,,0
65,1,NREM,5038,66,5037,66,-4971,0.260778,0.260778,0,0,1,-1.395506,-1.395506,0,0,1,NaN,,0
66,0,WAKE,5080,67,5079,67,-5012,-1.337408,-1.337408,0,0,1,-1.476429,-1.476429,0,0,1,NaN,,0
67,1,NREM,5084,68,5083,68,-5015,-0.7892419,-0.7892419,0,0,1,-1.494953,-1.494953,0,0,1,NaN,,0
68,0,WAKE,5117,69,5116,69,-5047,-1.661012,-1.661012,0,0,1,-1.634402,-1.634402,0,0,1,NaN,,0
69,1,NREM,5122,70,5121,70,-5051,-0.7725956,-0.7725956,0,0,1,-1.68603,-1.68603,0,0,1,NaN,,0
70,0,WAKE,5187,71,5186,71,-5115,-1.946215,-1.946215,0,0,1,-1.462335,-1.462335,0,0,1,NaN,,0
71,1,NREM,5210,72,5209,72,-5137,0.5170311,0.5170311,0,0,1,-1.000187,-1.000187,0,0,1,NaN,,0
72,0,WAKE,5280,73,5279,73,-5206,-1.881765,-1.881765,0,0,1,-0.7871922,-0.7871922,0,0,1,NaN,,0
73,1,NREM,5284,74,5283,74,-5209,-1.51934,-1.51934,0,0,1,-0.7820277,-0.7820277,0,0,1,NaN,,0
74,0,WAKE,5314,75,5313,75,-5238,0.3085332,0.3085332,0,0,1,-0.738493,-0.738493,0,0,1,NaN,,0
75,1,NREM,5319,76,5318,76,-5242,0.1461568,0.1461568,0,0,1,-0.7517391,-0.7517391,0,0,1,NaN,,0
76,0,WAKE,5341,77,5340,77,-5263,-0.08808482,-0.08808482,0,0,1,-1.124264,-1.124264,0,0,1,NaN,,0
77,1,NREM,5345,78,5344,78,-5266,-0.6738394,-0.6738394,0,0,1,-1.215692,-1.215692,0,0,1,NaN,,0
78,2,REM,5432,79,5431,79,-5352,-1.63139,-1.63139,0,0,1,-1.930351,-1.930351,0,0,1,NaN,,0
79,0,WAKE,5459,80,5458,80,-5378,-3.984745,-3.984745,0,0,1,-1.552876,-1.552876,0,0,1,NaN,,0
80,1,NREM,5470,81,5469,81,-5388,-0.8408598,-0.8408598,0,0,1,-1.426638,-1.426638,0,0,1,NaN,,0
81,0,WAKE,5515,82,5514,82,-5432,-0.9880434,-0.9880434,0,0,1,-1.10199,-1.10199,0,0,1,NaN,,0
