t_s,type
1751.38402897232,mean
2728.13255343735,mean
12208.8650358227,mean
12386.6969682661,mean
14231.8630113627,mean
15147.9579690408,mean
27403.8123159238,mean
28981.2965723741,mean
29818.3551156329,mean
30041.0136711797,mean
31095.2257460955,mean
