f_Hz,Pxx
0.009934108,295.6
0.01986822,73.8162
0.02980232,21.54406
0.03973643,13.23921
0.04967054,9.476958
0.05960464,6.91351
0.06953876,5.338569
0.07947286,4.349758
0.08940697,3.556544
0.09934108,2.831965
