state,ach_mean,ach_median,ach_iqr,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_n
WAKE,1.424627,1.371555,3.824151,154497,1.251197,1.308957,3.347328,154497
NREM,0.1063775,0.2911129,2.651258,145344,0.0250344,0.3699149,2.516213,145344
REM,-3.055961,-2.778278,4.507126,21670,-2.493918,-2.2941,4.483583,21670
