MouseID,Genotype,Condition,State,Band,Power_dB
mouse4,WT,baseline,NREM,Sigma,-94.3817975478794
mouse4,WT,baseline,NREM,Beta,-93.9219650828514
mouse4,WT,baseline,NREM,lGamma1,-98.9073260008026
mouse4,WT,baseline,NREM,lGamma2,-105.036041495484
mouse4,WT,baseline,NREM,hGamma,-100.078586798147
mouse4,WT,baseline,REM,Delta,-97.2016593643315
mouse4,WT,baseline,REM,Theta,-89.0501819316749
mouse4,WT,baseline,REM,Sigma,-96.0273719544339
mouse4,WT,baseline,REM,Beta,-94.3738799790773
mouse4,WT,baseline,REM,lGamma1,-98.424532870664
mouse4,WT,baseline,REM,lGamma2,-103.561592948146
mouse4,WT,baseline,REM,hGamma,-98.7010227898125
mouse4,WT,ambtemp,Wake,Delta,-91.7681516529886
mouse4,WT,ambtemp,Wake,Theta,-90.3280086190707
mouse4,WT,ambtemp,Wake,Sigma,-94.3828626040458
mouse4,WT,ambtemp,Wake,Beta,-94.867551692892
mouse4,WT,ambtemp,Wake,lGamma1,-96.0029595844383
mouse4,WT,ambtemp,Wake,lGamma2,-99.6559953527345
mouse4,WT,ambtemp,Wake,hGamma,-97.3839592853518
mouse4,WT,ambtemp,NREM,Delta,-89.5493083438972
mouse4,WT,ambtemp,NREM,Theta,-89.5777145241856
mouse4,WT,ambtemp,NREM,Sigma,-92.4824312636323
mouse4,WT,ambtemp,NREM,Beta,-93.8218693152285
mouse4,WT,ambtemp,NREM,lGamma1,-98.0345541069154
mouse4,WT,ambtemp,NREM,lGamma2,-103.521024681722
mouse4,WT,ambtemp,NREM,hGamma,-99.9197596612289
mouse4,WT,ambtemp,REM,Delta,-94.3129700083644
mouse4,WT,ambtemp,REM,Theta,-87.5233405243217
mouse4,WT,ambtemp,REM,Sigma,-94.001960768981
mouse4,WT,ambtemp,REM,Beta,-94.4724898248133
mouse4,WT,ambtemp,REM,lGamma1,-97.7479823747635
mouse4,WT,ambtemp,REM,lGamma2,-102.940142069738
mouse4,WT,ambtemp,REM,hGamma,-98.8332016219127
mouse10,APP,baseline,Wake,Delta,-89.8585666447758
mouse10,APP,baseline,Wake,Theta,-89.3828894218833
mouse10,APP,baseline,Wake,Sigma,-92.9267481279986
mouse10,APP,baseline,Wake,Beta,-93.2505312564604
mouse10,APP,baseline,Wake,lGamma1,-95.9166490774886
mouse10,APP,baseline,Wake,lGamma2,-102.357188584619
mouse10,APP,baseline,Wake,hGamma,-98.2067255249146
mouse10,APP,baseline,NREM,Delta,-86.4013438719298
mouse10,APP,baseline,NREM,Theta,-87.5937773249677
mouse10,APP,baseline,NREM,Sigma,-90.4973035430846
mouse10,APP,baseline,NREM,Beta,-91.7998056211975
mouse10,APP,baseline,NREM,lGamma1,-96.0504927491587
mouse10,APP,baseline,NREM,lGamma2,-103.512795568545
mouse10,APP,baseline,NREM,hGamma,-100.538546470004
mouse10,APP,baseline,REM,Delta,-92.6404324471788
mouse10,APP,baseline,REM,Theta,-85.7723499241844
mouse10,APP,baseline,REM,Sigma,-92.9916243560625
mouse10,APP,baseline,REM,Beta,-93.0248566430569
mouse10,APP,baseline,REM,lGamma1,-95.8264664981775
mouse10,APP,baseline,REM,lGamma2,-102.075975213203
mouse10,APP,baseline,REM,hGamma,-99.2036466047764
mouse10,APP,ambtemp,Wake,Delta,-91.2719471879976
mouse10,APP,ambtemp,Wake,Theta,-89.5017899085599
mouse10,APP,ambtemp,Wake,Sigma,-93.3602812824298
mouse10,APP,ambtemp,Wake,Beta,-93.3911349434897
mouse10,APP,ambtemp,Wake,lGamma1,-95.292268764478
mouse10,APP,ambtemp,Wake,lGamma2,-100.817401880516
mouse10,APP,ambtemp,Wake,hGamma,-97.4676581616152
mouse10,APP,ambtemp,NREM,Delta,-85.8493390770236
mouse10,APP,ambtemp,NREM,Theta,-87.3479570583785
mouse10,APP,ambtemp,NREM,Sigma,-90.4352165274463
mouse10,APP,ambtemp,NREM,Beta,-91.766658514515
mouse10,APP,ambtemp,NREM,lGamma1,-95.9895934109738
mouse10,APP,ambtemp,NREM,lGamma2,-103.43701498398
mouse10,APP,ambtemp,NREM,hGamma,-100.578090900692
mouse10,APP,ambtemp,REM,Delta,-92.7765690042752
mouse10,APP,ambtemp,REM,Theta,-85.4323922408362
mouse10,APP,ambtemp,REM,Sigma,-92.8508234061893
mouse10,APP,ambtemp,REM,Beta,-92.7829041502537
mouse10,APP,ambtemp,REM,lGamma1,-95.5778563210981
mouse10,APP,ambtemp,REM,lGamma2,-101.836966201703
mouse10,APP,ambtemp,REM,hGamma,-99.0231764483342
mouse3,APP,ambtemp,Wake,Delta,-88.3377230295361
mouse3,APP,ambtemp,Wake,Theta,-91.8236416447507
mouse3,APP,ambtemp,Wake,Sigma,-94.4025209236279
mouse3,APP,ambtemp,Wake,Beta,-92.5451572443542
mouse3,APP,ambtemp,Wake,lGamma1,-91.9446810109145
mouse3,APP,ambtemp,Wake,lGamma2,-95.9528615976943
mouse3,APP,ambtemp,Wake,hGamma,-95.6885621081358
mouse3,APP,ambtemp,NREM,Delta,-87.601944420332
mouse3,APP,ambtemp,NREM,Theta,-89.6033136819847
mouse3,APP,ambtemp,NREM,Sigma,-91.8748259514519
mouse3,APP,ambtemp,NREM,Beta,-91.5923382778066
mouse3,APP,ambtemp,NREM,lGamma1,-95.7706415238119
mouse3,APP,ambtemp,NREM,lGamma2,-102.967496933383
mouse3,APP,ambtemp,NREM,hGamma,-101.207647975092
mouse3,APP,ambtemp,REM,Delta,-91.2362836630131
mouse3,APP,ambtemp,REM,Theta,-88.4531315807672
mouse3,APP,ambtemp,REM,Sigma,-93.3401750440587
mouse3,APP,ambtemp,REM,Beta,-92.0253716759007
mouse3,APP,ambtemp,REM,lGamma1,-95.5268148029002
mouse3,APP,ambtemp,REM,lGamma2,-102.621216941294
mouse3,APP,ambtemp,REM,hGamma,-100.099615108954
mouse3,APP,baseline,Wake,Delta,-87.4210894384848
mouse3,APP,baseline,Wake,Theta,-90.5751544900965
mouse3,APP,baseline,Wake,Sigma,-93.1900957839497
mouse3,APP,baseline,Wake,Beta,-92.1126238834584
mouse3,APP,baseline,Wake,lGamma1,-95.4116216736272
mouse3,APP,baseline,Wake,lGamma2,-102.374655870309
mouse3,APP,baseline,Wake,hGamma,-99.1081915013683
mouse3,APP,baseline,NREM,Delta,-87.9107628867815
mouse3,APP,baseline,NREM,Theta,-89.1743761528928
mouse3,APP,baseline,NREM,Sigma,-91.5360066380684
mouse3,APP,baseline,NREM,Beta,-91.3451000475536
mouse3,APP,baseline,NREM,lGamma1,-95.9625549506798
mouse3,APP,baseline,NREM,lGamma2,-104.096224685228
mouse3,APP,baseline,NREM,hGamma,-101.404080433226
